1,1,14,1
2,2,14,2
3,3,14,3
4,4,14,1
5,5,14,2
6,6,14,3
7,7,14,1
8,8,14,2
9,9,14,3
10,10,14,1
11,11,14,2
12,12,14,3
13,13,14,250
14,14,15,3
15,15,16,1
16,16,17,2
17,17,18,1
18,18,19,3
19,19,20,2
20,20,21,1
21,21,22,3
22,22,23,2
23,23,24,1
24,24,25,3
25,25,26,2
26,26,27,1
27,27,28,3
28,28,29,2
29,29,30,1
30,30,31,3
31,31,32,2
32,32,33,1
33,33,34,3
34,34,33,110
35,35,33,100
36,37,15,11
37,41,18,1
38,42,62,100
39,38,62,10
40,39,62,10
41,40,62,10
54,63,34,12
55,63,62,19
58,65,23,3
139,114,68,1
145,119,25,1
150,123,34,12
151,123,62,19
